file,layer_name,type,priority,x,y,width,height,z_index,canvas_width,canvas_height,kv_canvas_width,kv_canvas_height,kv_x,kv_y,kv_width,kv_height,kv_z_index,is_in_kv
MDew_KV.psd,COPY,TEXT,2,57,46,967,696,3,1080,1920,1080.0,1920.0,57.0,46.0,967.0,696.0,3.0,1
Pepsi_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
Pepsi_KV.psd,LOGO,LOGO,0,79,393,656,295,1,1920,1080,1920.0,1080.0,79.0,393.0,656.0,295.0,1.0,1
Pepsi_KV.psd,SKUs,PRODUCT,2,773,210,373,725,2,1920,1080,1920.0,1080.0,773.0,210.0,373.0,725.0,2.0,1
Pepsi_KV.psd,COPY,TEXT,2,1218,338,614,243,3,1920,1080,1920.0,1080.0,1218.0,338.0,614.0,243.0,3.0,1
Pepsi_KV.psd,CTA,CTA,3,1218,638,603,150,4,1920,1080,1920.0,1080.0,1218.0,638.0,603.0,150.0,4.0,1
Pepsi_KV.psd,LEGAL,LEGAL,3,1501,1022,378,13,5,1920,1080,1920.0,1080.0,1501.0,1022.0,378.0,13.0,5.0,1
PropelV2_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
PropelV2_KV.psd,COPY,TEXT,2,970,404,374,278,1,1920,1080,1920.0,1080.0,970.0,404.0,374.0,278.0,1.0,1
PropelV2_KV.psd,SUB HEADING,TEXT,2,1381,496,471,94,2,1920,1080,1920.0,1080.0,1381.0,496.0,471.0,94.0,2.0,1
PropelV2_KV.psd,SKUs,PRODUCT,2,61,306,872,573,3,1920,1080,1920.0,1080.0,61.0,306.0,872.0,573.0,3.0,1
PropelV2_KV.psd,PRICE,PRICE,3,627,200,212,212,4,1920,1080,1920.0,1080.0,627.0,200.0,212.0,212.0,4.0,1
PropelV3_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
PropelV3_KV.psd,COPY,TEXT,2,970,404,374,278,1,1920,1080,1920.0,1080.0,970.0,404.0,374.0,278.0,1.0,1
PropelV3_KV.psd,SUB HEADING,TEXT,2,1381,496,471,94,2,1920,1080,1920.0,1080.0,1381.0,496.0,471.0,94.0,2.0,1
PropelV3_KV.psd,SKUs,PRODUCT,2,-62,213,1060,801,3,1920,1080,1920.0,1080.0,-62.0,213.0,1060.0,801.0,3.0,1
PropelV3_KV.psd,PRICE,PRICE,3,705,232,207,213,4,1920,1080,1920.0,1080.0,705.0,232.0,207.0,213.0,4.0,1
